Name,coordinates,FEATUREID,ΚΩΔΙΚΟΣ ΓΡΑΜΜΗΣ,DXF_LAYER,DESCRIPTION_GR,DESCRIPTION_EN
TLDASH,"<MultiGeometry><LinearString><coordinates> 33.36416542900003,35.16380360200003,0 33.36360976900005,35.16346546100004,0</coordinates></LinearString></MultiGeometry>",65,1406,TLDASH,Διακεκομμένη γραμμή  που  δεν  είναί δρόμος,Topo Dashed Line (Not Roads)
TLDASH,"<MultiGeometry><LinearString><coordinates> 33.36419267100007,35.16380359100003,0 33.36361514900005,35.16345782400003,0</coordinates></LinearString></MultiGeometry>",66,1406,TLDASH,Διακεκομμένη γραμμή  που  δεν  είναί δρόμος,Topo Dashed Line (Not Roads)
TLDASH,"<MultiGeometry><LinearString><coordinates> 33.36028034100008,35.16304019400008,0 33.36025200400007,35.16304792400007,0 33.36022334500007,35.16304161800008,0</coordinates></LinearString></MultiGeometry>",67,1406,TLDASH,Διακεκομμένη γραμμή  που  δεν  είναί δρόμος,Topo Dashed Line (Not Roads)
TLDASH,"<MultiGeometry><LinearString><coordinates> 33.36030487600004,35.16302534900007,0 33.36028034100008,35.16304019400008,0</coordinates></LinearString></MultiGeometry>",68,1406,TLDASH,Διακεκομμένη γραμμή  που  δεν  είναί δρόμος,Topo Dashed Line (Not Roads)
TLOTHER,"<MultiGeometry><LinearString><coordinates> 33.36627935300004,35.16220857600007,0 33.36621681800006,35.16214967700006,0</coordinates></LinearString></MultiGeometry>",69,1432,TLOTHER,Άλλη τοπογραφική γραμμή,Other Topo Line
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35924933600006,35.16209888200007,0 33.35892973300003,35.16232597700008,0</coordinates></LinearString></MultiGeometry>",70,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLOTHER,"<MultiGeometry><LinearString><coordinates> 33.35951725400003,35.16195133500003,0 33.35938101600004,35.16203656400006,0</coordinates></LinearString></MultiGeometry>",71,1432,TLOTHER,Άλλη τοπογραφική γραμμή,Other Topo Line
TLOTHER,"<MultiGeometry><LinearString><coordinates> 33.35927591800004,35.16199928200007,0 33.35931827800005,35.16204081300003,0 33.35966211000005,35.16182184400003,0</coordinates></LinearString></MultiGeometry>",72,1432,TLOTHER,Άλλη τοπογραφική γραμμή,Other Topo Line
TLDASH,"<MultiGeometry><LinearString><coordinates> 33.36826728000006,35.16115749600004,0 33.36856392600004,35.16104312700003,0 33.36872619300004,35.16098788400007,0 33.36886858200006,35.16094419300003,0</coordinates></LinearString></MultiGeometry>",73,1406,TLDASH,Διακεκομμένη γραμμή  που  δεν  είναί δρόμος,Topo Dashed Line (Not Roads)
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.36716472600006,35.16089197200006,0 33.36704407900004,35.16077857400006,0</coordinates></LinearString></MultiGeometry>",74,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLDASH,"<MultiGeometry><LinearString><coordinates> 33.36954355300003,35.16078228800006,0 33.36948440800006,35.16058256100007,0</coordinates></LinearString></MultiGeometry>",75,1406,TLDASH,Διακεκομμένη γραμμή  που  δεν  είναί δρόμος,Topo Dashed Line (Not Roads)
TLRDHSCH,"<MultiGeometry><LinearString><coordinates> 33.36798945300006,35.16035754600006,0 33.36798150200008,35.16037235700003,0 33.36799828900007,35.16038315500003,0 33.36801000600008,35.16036056500008,0</coordinates></LinearString></MultiGeometry>",76,1043,TLRDHSCH,Κανάλι - Ασφαλτοστρωμένος δρόμος,Channel-Road Hard Surface
TLRDHSCH,"<MultiGeometry><LinearString><coordinates> 33.36799362100004,35.16034977800007,0 33.36798945300006,35.16035754600006,0</coordinates></LinearString></MultiGeometry>",77,1043,TLRDHSCH,Κανάλι - Ασφαλτοστρωμένος δρόμος,Channel-Road Hard Surface
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.36770338500003,35.16017603600005,0 33.36770413700003,35.16017670100007,0 33.36770537400003,35.16017773200008,0 33.36770665200004,35.16017872800006,0 33.36770797200006,35.16017968600005,0 33.36770933200006,35.16018060600004,0 33.36771073100005,35.16018148700005,0 33.36771216600005,35.16018232600004,0 33.36771363600008,35.16018312400007,0</coordinates></LinearString></MultiGeometry>",78,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
